Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports",This account is being reported past the statue of limitations with false information. It was sent by the company to XXXX XXXX where it was paid in full and agreed via letter from XXXX XXXX that it will be removed from my credit once paid.
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX XXXX has on my Transunion report File # XXXX Date XX/XX/2021 I did not sign or agree to no hard credit been ran by XXXX XXXX XXXX XXXX XXXX XXXX needs to provide my signature in regards to this matter as fraud by XXXX XXXX  Violates Federal Fair Credit Reporting Act or FRCA There needs to be proof showed by XXXX XXXX of this transaction by document not verbal is not legal. I have also filed with US Attorney office as DOJ on consumer complaints to this matter as Fraud on XXXX XXXX XXXX and Transunion
"Credit reporting, credit repair services, or other personal consumer reports",On XX/XX/XXXX XX/XX/XXXX and XX/XX/2021 someone applied For Loans in My Name Without my consent I Contacted The police but because they were only inquiries they stated that they couldnt do anything for me to contact the credit Bureaus to dispute i called the bureaus place a freeze on my report and fraud alert to stop it from happening again. The bureaus told me to come to this site to get a report so they can resolve the issue So now im here hoping you guys could help me!
"Credit reporting, credit repair services, or other personal consumer reports","I recently pulled my credit report and noticed an inquiry on my report without my permissible use. According to the FCRA and the FDCPA, it should be removed. However, I have sent in continuous dispute letters obtaining all information needed to remove this inquiry. This inquiry is affecting my chances on establishing a great history with the current company. The name of the inquiry is ALLY FINANCIAL. The inquiry date is XX/XX/2018. The bureau reporting is XXXX, XXXX, and XXXX XXXX. Thank you!"
Debt collection,"A debt collector from XXXX XXXX XXXX XXXX XXXX calls multiple times a day for the past month stating they want collect a debt. They have left voicemails pertaining to act like an attorney. They also call from numbers with the same area code and do not speak until I do then hang up, I have instructed them not to contact and this is extremely harassing. They have violated the law and their supposed debt is now null and void due to this."
Debt collection,I spoke with the company regarding ticket debt after the county the tickets were owed to forwarded me to them only to find out this debt was in place for over 2 years I was never contacted by mail or phone or given the chance to dispute after calling and confirming my address I still received no letter and was told they will be adding collection agency fees to the debt
"Credit reporting, credit repair services, or other personal consumer reports",I filed a dispute in regards to the incorrect items on my credit report. It has been well over 30 days and I haven't received any investigation results.
"Credit reporting, credit repair services, or other personal consumer reports",I have filed a dispute in regards to the incorrect items on my credit report. It has been well over 30 days and I haven't received any investigation results.
Credit card or prepaid card,"I was released from XXXX  on XX/XX/XXXX, 2021. While I was in XXXX  someone filled for my stimulus check. I believe it was my ex wife. I was told child support got the first check so I filled for the second XXXX XXXX dollar stimulus and it was sent the day I was released to the same account number the first check was sent to. I need that account froze and investigated please."
Checking or savings account,"XX/XX/2016 The Midwest Bank had made several unapproved withdrawals from my bank account # XXXX XXXX ex XXXX, XX/XX/2016 and transferred it to the Department of Education for a student loan on XX/XX/2016 thru XX/XX/2016, @ {$78.00} per month totaled @ {$390.00} without my approval ;"
